"WorkerId","cond","trialnum","correct","sex","age","lang","rt","itemnum","trialtype"
"A2UF2FRGVW4T89",1,4,"Y","""M""","""45""","""English""",1510,"1vs1","control_single"
"A1XOXGWBAN6HEJ",1,4,"Y","""M""","""35""","""english""",930,"1vs1","control_single"
"A7RAVFS10BUZ1",2,4,"Y","""M""","""55""","""English""",1866,"2vs2","control_single"
"A2179VLITZ8QHP",2,5,"Y","""M""","""35""","""English""",1431,"2vs1","inference"
"A1F63RK1PMJS5Y",1,5,"Y","""M""","""35""","""English""",2602,"3vs1","inference"
"A2OYTHYZI938A7",1,5,"Y","""F""","""35""","""English""",1139,"3vs1","inference"
"A2ZH5LDUY5UFD4",1,5,"Y","""M""","""45""","""English""",1225,"3vs1","inference"
"A2RXJXDJ5IWHCF",2,5,"Y","""F""","""35""","""English""",1194,"2vs1","inference"
"A1Y8MOE9J7CMPQ",1,5,"Y","""M""","""45""","""English""",1045,"3vs1","inference"
"A3LZG0E2BOVFI0",2,5,"Y","""F""","""55""","""English""",1464,"2vs1","inference"
"A10K8ZSAU26T49",2,5,"Y","""F""","""55""","""English""",3471,"2vs1","inference"
"AIUKV0KVALMY6",1,5,"Y","""F""","""35""","""english""",2112,"3vs1","inference"
"A3MBIX6DHJS68K",2,5,"N","""F""","""35""","""English""",814,"2vs1","inference"
"A3CD3C99T8S6ON",2,5,"Y","""M""","""25""","""English""",1169,"2vs1","inference"
"A3SW1BXR31CZY0",1,5,"Y","""M""","""35""","""English""",1056,"3vs1","inference"
"AK467M5VTG7N4",1,5,"Y","""M""","""25""","""English""",1829,"3vs1","inference"
"A24MK3QPZ1V1L8",1,5,"Y","""M""","""35""","""english""",2895,"3vs1","inference"
"ADKKDK6P4MS1Z",2,5,"Y","""M""","""35""","""english""",2473,"2vs1","inference"
"A3H369LHNNJ1XR",1,5,"Y","""M""","""25""","""English""",1080,"3vs1","inference"
"AKLG79EPGKTDP",1,5,"Y","""F""","""25""","""English""",546,"3vs1","inference"
"A1GSIR59HGF3SZ",1,5,"Y","""F""","""35""","""English""",754,"3vs1","inference"
"A1HBIE5LRTQK1L",1,5,"Y","""M""","""55""","""English""",983,"3vs1","inference"
"ARI4DPDWL5SZY",2,5,"Y","""M""","""35""","""English""",983,"2vs1","inference"
"A6IFXOBCV436G",1,5,"Y","""M""","""35""","""english""",4377,"3vs1","inference"
"A2FD57QQWT1J2N",2,5,"Y","""M""","""35""","""english""",1435,"2vs1","inference"
"A1VSHM4NLZ705D",1,5,"Y","""M""","""35""","""English""",1014,"3vs1","inference"
"A38R7SIVV118KT",2,5,"N","""M""","""65""","""english""",1434,"2vs1","inference"
"A1QVNF19XSRSD7",1,5,"Y","""M""","""35""","""English""",1270,"3vs1","inference"
"A2T9WRHFRIVAFY",2,5,"Y","""F""","""35""","""English""",1667,"2vs1","inference"
"A1H11P4QSM08Y1",2,5,"Y","""M""","""35""","""english""",2063,"2vs1","inference"
"A3MQS8KPUMZB9W",1,5,"Y","""F""","""45""","""English""",3691,"3vs1","inference"
"A1A2X0T1XE8K89",1,5,"Y","""M""","""25""","""english""",1120,"3vs1","inference"
"A3P74FP62XNVYI",1,5,"N","""M""","""65""","""English""",1424,"3vs1","inference"
"A302M81U0HM7RJ",1,5,"Y","""M""","""35""","""english""",1177,"3vs1","inference"
"A27BKFN6UB1LDP",2,5,"Y","""F""","""35""","""English""",3476,"2vs1","inference"
"A2G333PKCQQIA0",2,5,"Y","""F""","""35""","""english""",1738,"2vs1","inference"
"ALIAR9NKPM4YU",2,5,"Y","""F""","""66""","""English""",1710,"2vs1","inference"
"A7XL1V3G7C2VV",2,5,"Y","""M""","""25""","""English""",4521,"2vs1","inference"
"A2UIGDOLX5RV95",1,5,"Y","""F""","""25""","""English""",1480,"3vs1","inference"
"AYCHPTQRYDT7G",1,5,"Y","""F""","""45""","""English""",1390,"3vs1","inference"
"A1H72BVZEDUFZ7",1,5,"Y","""F""","""25""","""English""",2806,"3vs1","inference"
"A3K7UC7LUKV0ZV",1,5,"Y","""M""","""35""","""English""",630,"3vs1","inference"
